"MW_API","melting.point_API","XLogP3_API","Hydrogen.Bond.Donor.Count_API","Hydrogen.Bond.Acceptor.Count_API","Rotatable.Bond.Count_API","Topological.Polar.Surface.Area_API","Heavy.Atom.Count_API","Complexity_API","logS_API","logP_API","Pka","N.of.repeat.units_polymer","Monomer.Weight_polymer","Hydrogen.Bond.Donor.Count_polymer","Hydrogen.Bond.Acceptor.Count_polymer","Rotatable.Bond.Count_polymer","Complexity_polymer","Topological.Polar.Surface.Area_polymer","technich","Drug.loading.ratio","Dose.mg.","dissolution.method","surfactant","pH.1.2_simulated.gastric.fluid","pH.4.5_buffer.solution","pH.6.8_PBS","pH.6.5_FaSSIF","pH.6.8_SIF","water","pH.7.4_PBS","rotation.speed.rpm.","volume.ml","X5min","X10min","X15min","X20min","X30min","X45min","X60min"
0.178954935490526,0.193333333333333,0.673267326732673,0.157894736842105,0.16,0.454545454545455,0.131935176358437,0.193181818181818,0.127091491634033,0.22,0.284433577832111,0.664172123479888,0.0323477100933748,0.302606834545259,0,0.25,0.111111111111111,0.489130434782609,0.172233136869679,0,0.183673469387755,0.0880989772857854,0,0,0,0,1,0,0,0,0,0,0.166666666666667,0.0261,0.0453,0.0974,0.1375,0.1902,0.2384,0.2855
0.247852439990363,0.376666666666667,0.722772277227723,0.157894736842105,0.16,0.363636363636364,0.220209723546234,0.227272727272727,0.211819152723389,0.14,0.343928280358598,0.501403180542563,0.0323477100933748,0.302606834545259,0,0.25,0.111111111111111,0.489130434782609,0.172233136869679,0,0.489795918367347,0.068947025701919,1,0,0,0,0,0,0,0,1,0.5,0.888888888888889,0.0025,0.005,0.0135,0.0249,0.0475,0.0968,0.1502
0.0149608754328583,0.0733333333333333,0.396039603960396,0.105263157894737,0.12,0.227272727272727,0.099904671115348,0.0113636363636364,0,1,0.097799511002445,0.936389148737137,0.145953757225434,0.277904144428126,0.166666666666667,0.125,0.037037037037037,0.135597826086957,0.111329404060249,0,0.13265306122449,0.135978856245451,0,0,1,0,0,0,0,0,0,0,0.888888888888889,0.01,0.0201,0.0322,0.0442,0.052,0.0686,0.084
0.16824666193193,0.436666666666667,0.614554455445545,0.105263157894737,0.16,0.318181818181818,0.16606291706387,0.147727272727273,0.112139551441794,0.26,0.315403422982885,0.610851262862488,0,1,0.666666666666667,0.875,1,0.834239130434783,0.692206941715783,1,0.15,0.0497950741180526,0,0,1,0,0,0,0,0,0,0.25,0.888888888888889,0.6363,0.6683,0.7604,0.8071,0.8832,0.9299,0.9791
0.0591088826703915,0.126666666666667,0.564356435643564,0.0526315789473684,0.08,0.181818181818182,0.0913250714966635,0.0681818181818182,0.0640797436810253,0.48,0.3039934800326,0.480823199251637,0.26856380613606,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.0816326530612245,0.0880989772857854,1,0,1,0,0,0,0,0,0,0,0.444444444444444,0.044,0.1153,0.3144,0.5324,0.6603,0.7253,0.7652
0.0512154677862062,0.18,0.673267326732673,0.0526315789473684,0.08,0.136363636363636,0.0587225929456625,0.0568181818181818,0.048059807760769,0.42,0.32681336593317,0.506080449017774,0.0142285460204535,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.23469387755102,0.107250928869652,1,1,0,0,0,0,0,1,0,0.5,0.888888888888889,0.0034,0.0361,0.0648,0.0781,0.0917,0.1022,0.1131
0.143444410674889,0.66,0.217821782178218,0.0526315789473684,0.28,0.0909090909090909,0.127359389895138,0.147727272727273,0.171947312210751,0.74,0.0888345558272209,0.554256314312441,0.00700311249444197,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.693877551020408,0.375378251043781,0,0,0,0,0,0,0,1,0,0.5,1,0.0025,0.005,0.0115,0.014,0.0192,0.0409,0.0512
0.149713474945002,0.406666666666667,0.534653465346535,0.0526315789473684,0.28,0.227272727272727,0.153670162059104,0.136363636363636,0.117123531505874,0.58,0.267318663406683,0.712815715622077,0.0579146287238773,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.183673469387755,0.0306431225341862,1,0,0,0,0,0,0,0,1,0.5,0.888888888888889,0.8534,0.8793,0.9073,0.8932,0.875,0.8577,0.8728
0.247852439990363,0.376666666666667,0.722772277227723,0.157894736842105,0.16,0.363636363636364,0.220209723546234,0.227272727272727,0.211819152723389,0.14,0.343928280358598,0.501403180542563,0.0316807469986661,0.800244922448687,0.333333333333333,0.75,0.592592592592593,0.2536875,0.618598559266536,0,0.316326530612245,0.068947025701919,1,0,0,0,0,0,0,0,1,0.5,0.888888888888889,0.0281,0.1142,0.223,0.32,0.5609,0.6467,0.7068
0.768539879657902,0.4,0.614554455445545,0.315789473684211,0.44,1,0.424213536701621,0.795454545454545,0.237095051619794,0.0199999999999999,0.381418092909535,0.507951356407858,0.00833703868385949,0.0896899738510585,0,0.125,0,0.0834239130434783,0.031434184675835,0.5,0.489795918367347,0.0306431225341862,0,1,1,0,0,0,0,0,0,0,0.888888888888889,0.1188,0.241,0.3383,0.4427,0.6224,0.8078,0.9127
0,0.27,0.415841584158416,0.0526315789473684,0.04,0.136363636363636,0.0606291706387035,0,0.00391598433606266,0.82,0.167889160554197,1,0.0142285460204535,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.0816326530612245,0.758417282721109,1,0,0,0,0,0,0,0,1,0.5,1,0.0307,0.1157,0.1856,0.2947,0.5127,0.5692,0.6375
0.119780700856504,0.473333333333333,0.564356435643564,0.105263157894737,0.2,0.0909090909090909,0.193517635843661,0.113636363636364,0.16375934496262,0.54,0.215158924205379,0.521983161833489,0.0299021787461094,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.183673469387755,0.0306431225341862,0,0,1,0,0,0,0,0,0,0,0.444444444444444,0.9871,0.9875,0.9908,0.9926,1,1,1
0.414481837665722,0.367333333333333,0.821782178217822,0,0.32,0.5,0.180171591992374,0.409090909090909,0.344962620149519,0.24,0.386308068459658,0.4822263797942,0.0323477100933748,0.302606834545259,0,0.25,0.111111111111111,0.489130434782609,0.172233136869679,1,0.387755102040816,0.183858735205117,0,0,1,0,0,0,0,0,0,0.5,0.888888888888889,0.1782,0.3309,0.494,0.633,0.8021,0.8564,0.91
